Set,Number,Name,Cost,Ink,Type,Rarity,Str,Will,Lore,Classification,Franchise,Std Price,Foil Price
The First Chapter,205/204,Hades - King of Olympus (Alternate Art),8,Amber,Character,Enchanted,6,7,1,King of Olympus,Hercules,0,$159.77
The First Chapter,206/204,Stitch - Carefree Surfer (Alternate Art),7,Amber,Character,Enchanted,4,8,2,Carefree Surfer,Lilo and Stitch,0,$261.30
The First Chapter,207/204,Elsa - Spirit of Winter (Alternate Art),8,Amethyst,Character,Enchanted,4,6,3,Spirit of Winter,Frozen,0,$802.09
The First Chapter,208/204,Mickey Mouse - Wayward Sorcerer (Alternate Art),4,Amethyst,Character,Enchanted,3,4,2,Wayward Sorcerer,Standard Characters,0,$294.64
The First Chapter,209/204,Genie - On the Job (Alternate Art),6,Emerald,Character,Enchanted,3,4,2,On the Job,Aladdin,0,$176.53
The First Chapter,210/204,Mickey Mouse - Artful Rogue (Alternate Art),7,Emerald,Character,Enchanted,6,5,2,Artful Rogue,Standard Characters,0,$177.10
The First Chapter,211/204,Aladdin - Heroic Outlaw (Alternate Art),7,Ruby,Character,Enchanted,5,5,2,Heroic Outlaw,Aladdin,0,$166.70
The First Chapter,212/204,Maui - Hero to All (Alternate Art),5,Ruby,Character,Enchanted,6,5,,Hero to All,Moana,0,$183.69
The First Chapter,213/204,Aurora - Dreaming Guardian (Alternate Art),5,Sapphire,Character,Enchanted,3,5,2,Dreaming Guardian,Sleeping Beauty,0,$190.59
The First Chapter,214/204,Belle - Strange but Special (Alternate Art),4,Sapphire,Character,Enchanted,2,4,1,Strange but Special,Beauty and the Beast,0,$285.85
The First Chapter,215/204,Simba - Returned King (Alternate Art),7,Steel,Character,Enchanted,4,6,2,Returned King,Lion King,0,$197.81
The First Chapter,216/204,Tinker Bell - Giant Fairy (Alternate Art),6,Steel,Character,Enchanted,4,5,2,Giant Fairy,Peter Pan,0,$264.18
The First Chapter,1/204,Ariel - On Human Legs,4,Amber,Character,Uncommon,3,4,2,On Human Legs,Little Mermaid,$0.13,$1.24
The First Chapter,2/204,Ariel - Spectacular Singer,3,Amber,Character,Super Rare,2,3,1,Spectacular Singer,Little Mermaid,$9.10,$19.03
